issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,same Ticker,same date, in 40 day,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Huaku Construction Co Ltd,2000/6/19,2000/6/19,,2548,1522,Huaku Construction Co Ltd,3,huuconstruct,3,Hung Fu Construction,x,x,x,Hung Fu Construction,HUNG FU CONSTRUCTION,TW:HFC,1993/9/27,317762,T8719,TW0008719006
AOpen Inc,2000/7/27,2000/7/27,TW0003046009,3046,3575,AOpen Inc,0,aopen,8,Dabomb Protein,x,x,x,Dabomb Protein,DABOMB PROTEIN,TW:DBP,2016/7/20,7733JX,T6578,TW0006578008
Cradle Technology Corp,2000/8/22,2000/8/22,,3021,7375,Cradle Technology Corp,1,crale,10,Crystalvue Medical,x,x,x,Crystalvue Medical,CRYSTALVUE MEDICAL,TW:CVM,2015/4/29,94521K,T6527,TW0006527005
Applied Component Tech Corp,2000/10/19,2000/10/19,,5467,3674,Applied Component Tech Corp,5,appliedcoe,4,Applied Biocode,x,x,x,Applied Biocode,APPLIED BIOCODE,T:APB,2017/2/9,9013U1,T6598,KYG0488D1051
TM Technology Inc,2000/12/16,2000/12/16,,5468,3674,TM Technology Inc,0,tm,13,Taiwan Semiconductor Manufacturing,x,x,x,Taiwan Semiconductor Manufacturing,TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,140406,T2330,TW0002330008
TXC Corp,2001/2/19,2001/2/19,,3042,3679,TXC Corp,0,txc,12,Taiwan Hopax Chemicals Manufacturing,x,x,x,Taiwan Hopax Chemicals Manufacturing,TAIWAN HOPAX CHEMS.MNFG.,TW:TOC,2004/4/12,28822V,T6509,TW0006509003
ICP Electronics Inc,2001/3/5,2001/3/5,,3022,3577,ICP Electronics Inc,0,icps,10,Dimerco Express (Taiwan),x,x,x,Dimerco Express (Taiwan),DIMERCO EXPRESS (TAIWAN),TW:DEC,2001/10/15,14691R,T5609,TW0005609002
Long Lon Fiber Co Ltd,2001/5/23,2001/5/23,,4419,2299,Long Lon Fiber Co Ltd,4,ongfiber,3,Hong Yi Fiber Industry,x,x,x,Hong Yi Fiber Industry,HONG YI FIBER INDUSTRY,TW:HYN,1992/12/28,316535,T1452,TW0001452001
Forhouse Corporation,2001/12/5,2001/12/5,,6120,3827,Forhouse Corporation,5,forosorato,5,Formosa Laboratories,x,x,x,Formosa Laboratories,FORMOSA LABORATORIES,TW:FRM,2011/3/1,69953U,T4746,TW0004746003
Sampo Technology Corp,2001/12/28,2001/12/28,,6137,3575,Sampo Technology Corp,0,sampo,10,Asia Vital Components,x,x,x,Asia Vital Components,ASIA VITAL COMPONENTS,TW:AAI,2002/9/27,26272X,T3017,TW0003017000
