issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LCS,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Lextar Electronics Corp,2011/9/21,2010/9/27,TW0003698007,3698,3679,Lextar Electronics Corp,lextar,Lextar Electronics,Lextar Electronics,LEXTAR ELECTRONICS,TW:LEX,2010/3/26,69328U,T3698,TW0003698007
Unitel High Technology Corp,2011/9/22,2011/8/22,TW0003642005,3642,3069,Unitel High Technology Corp,unitelhigh,Unitel High Technology,Unitel High Technology,UNITEL HIGH TECHNOLOGY,TW:UTL,2010/1/4,69233C,T3642,TW0003642005
ScinoPharm Taiwan Ltd,2011/9/22,2011/5/20,TW0001789006,1789,2834,ScinoPharm Taiwan Ltd,scinopharm,Scinopharm Taiwan,Scinopharm Taiwan,SCINOPHARM TAIWAN,TW:SPZ,2010/10/29,756989,T1789,TW0001789006
Chime Ball Technology Co Ltd,2011/9/28,2011/4/8,TW0001595007,1595,3672,Chime Ball Technology Co Ltd,chimeball,Chime Ball Technology,Chime Ball Technology,CHIME BALL TECHNOLOGY,TW:CBB,2010/10/25,77449V,T1595,TW0001595007
Nishoku Technology Inc,2011/10/3,2011/5/5,TW0003679007,3679,2821,Nishoku Technology Inc,nishoku,Nishoku Technology,Nishoku Technology,NISHOKU TECHNOLOGY,TW:NTU,2009/11/12,68798E,T3679,TW0003679007
HTM International Holding Ltd,2011/10/10,2011/8/15,KYG4642A1067,4924,3577,HTM International Holding Ltd,htmholding,HTM International Holding,HTM International Holding,HTM INTERNATIONAL HLDG.,TW:HTM,2010/1/13,68798D,T4924,KYG4642A1067
Apex International Co Ltd,2011/10/11,2011/7/27,KYG0407M1033,4927,3672,Apex International Co Ltd,apex,Taiwan Pelican Express,Taiwan Pelican Express,TAIWAN PELICAN EXPRESS,TW:PXP,2012/12/26,87965U,T2642,TW0002642006
On-Bright Electronics Inc,2011/10/11,2011/4/28,KYG675291002,4947,3674,On-Bright Electronics Inc,on-bright,On-Bright Electronics,On-Bright Electronics,ON-BRIGHT ELECTRONICS,TW:OBE,2011/10/18,77818L,T4947,KYG675291002
Taiwan Benefit Co Ltd,2011/10/13,2011/3/1,TW0003379004,3379,3556,Taiwan Benefit Co Ltd,taiwanbenefit,Taiwan Benefit,Taiwan Benefit,TAIWAN BENEFIT,TW:TBE,2004/9/13,30743D,T3379,TW0003379004
Generalplus Technology Inc,2011/10/25,2011/4/11,TW0004952007,4952,3674,Generalplus Technology Inc,generalplus,Generalplus Technology,Generalplus Technology,GENERALPLUS TECHNOLOGY,TW:GRP,2010/8/9,71970P,T4952,TW0004952007
Turvo International Co Ltd,2011/11/7,2011/3/10,TW0002233004,2233,3369,Turvo International Co Ltd,turvo,Turvo International,Turvo International,TURVO INTERNATIONAL,TW:TIL,2010/10/25,77450M,T2233,TW0002233004
Medigen Biotechnology Corp,2011/11/16,2011/7/11,TW0003176004,3176,2836,Medigen Biotechnology Corp,medigenbiotechn,Medigen Biotechnology,Medigen Biotechnology,MEDIGEN BIOTECHNOLOGY,TW:MDB,2003/12/30,30726E,T3176,TW0003176004
Asia Tech Image Inc,2011/11/22,2011/4/26,TW0004974001,4974,3674,Asia Tech Image Inc,asiaimage,Asia Technology Image,Asia Technology Image,ASIA TECH IMAGE,TW:AAG,2010/11/19,77450V,T4974,TW0004974001
ShineMore Technology Materials,2011/11/22,2011/6/3,TW0008291006,8291,3672,ShineMore Technology Materials,shinemoremateri,Shinemore Technology Materials,Shinemore Technology Materials,SHINEMORE TECH.MATS.,TW:SNM,2004/7/27,30726K,T8291,TW0008291006
Coremax Corp,2011/11/24,2011/6/15,TW0004739008,4739,2819,Coremax Corp,coremax,Coremax,Coremax,COREMAX,TW:CMX,2010/12/13,77451H,T4739,TW0004739008
Cayman Tung Ling Co Ltd,2011/11/25,2011/8/26,KYG198691092,2924,2369,Cayman Tung Ling Co Ltd,caymantungling,Cayman Tung Ling,Cayman Tung Ling,CAYMAN TUNG LING,TW:CYM,2011/9/9,775980,T2924,KYG198691092
JP Nelson Holdings,2011/11/29,2011/4/21,KYG520981039,8418,7359,JP Nelson Holdings,jpnelsonholding,JP Nelson Holdings,JP Nelson Holdings,JP NELSON HOLDINGS,TW:JPN,2011/5/27,774516,T8418,KYG520981039
Kee Song Bio-Tech Hldg Ltd,2011/12/5,2011/7/20,KYG522401010,1258,2051,Kee Song Bio-Tech Hldg Ltd,keesongbiotech,Kee Song Biotechnology Holdings,Kee Song Biotechnology Holdings,KEE SONG BIOTECH.HDG.,TW:KSO,2011/8/29,77568H,T1258,KYG522401010
LuxNet Corp,2011/12/5,2010/10/7,TW0004979000,4979,3674,LuxNet Corp,luxnet,Luxnet,Luxnet,LUXNET,TW:LXC,2010/11/16,77451K,T4979,TW0004979000
Redwood Group Ltd,2011/12/6,2011/7/4,KYG7457N1051,8426,1742,Redwood Group Ltd,redwoodgroup,Redwood Group,Redwood Group,REDWOOD GROUP,TW:RGL,2011/5/30,77452E,T8426,KYG7457N1051
WIN Semiconductors Corp,2011/12/6,2011/10/27,TW0003105003,3105,3674,WIN Semiconductors Corp,winsemiconducto,Win Semiconductors,Win Semiconductors,WIN SEMICONDUCTORS,TW:WSN,2009/10/6,68798F,T3105,TW0003105003
X-Legend Entertainment Co Ltd,2011/12/6,2011/7/27,TW0004994009,4994,8748,X-Legend Entertainment Co Ltd,xlegendenterta,X Legend Entertainment,X Legend Entertainment,X LEGEND ENTERTAINMENT,TW:XLE,2010/12/24,77452U,T4994,TW0004994009
An-Shin Food Service Co Ltd,2011/12/8,2011/1/13,TW0001259000,1259,5812,An-Shin Food Service Co Ltd,an-shinfoodserv,An-Shin Food Services,An-Shin Food Services,AN-SHIN FOOD SERVICES,TW:AFS,2011/1/26,77449D,T1259,TW0001259000
Formosa Electronic Industries,2011/12/12,2011/10/28,TW0008171000,8171,3577,Formosa Electronic Industries,roaindustri,Aurona Industries,Aurona Industries,AURONA INDUSTRIES,TW:ARN,2004/1/27,28395X,T8074,TW0008074006
Kino Biotech Co Ltd,2011/12/21,2011/8/29,KYG527551082,4154,5122,Kino Biotech Co Ltd,kinobiotech,Kino Biotechnology,Kino Biotechnology,KINO BIOTECH,TW:KNO,2011/7/27,77505U,T4154,KYG527551082
China Fineblanking Technology,2012/1/2,2011/6/24,TW0001586006,1586,3714,China Fineblanking Technology,chinafineblanki,China Fineblanking Technology,China Fineblanking Technology,CHINA FINEBLANKING TECH.,TW:CFZ,2009/11/27,70176U,T1586,TW0001586006
SunMax Biotech Co Ltd,2012/1/5,2011/7/28,TW0004728001,4728,2836,SunMax Biotech Co Ltd,sunmaxbiotech,Sunmax Biotechnology,Sunmax Biotechnology,SUNMAX BIOTECHNOLOGY,TW:SMX,2010/1/25,68877C,T4728,TW0004728001
Genovate Biotechnology Co Ltd,2012/1/6,2011/7/27,TW0004130000,4130,2834,Genovate Biotechnology Co Ltd,genovatebiotech,Genovate Biotechnology,Genovate Biotechnology,GENOVATE BIOTECHNOLOGY,TW:GVB,2003/2/10,774498,T4130,TW0004130000
Star Travel Corp,2012/2/17,2011/10/17,TW0002719002,2719,4724,Star Travel Corp,startravel,Star Travel,Star Travel,STAR TRAVEL,TW:STV,2008/1/28,51670V,T2719,TW0002719002
Polygreen Resources Co Ltd,2012/3/7,2011/8/29,KYG715991074,8423,3069,Polygreen Resources Co Ltd,polygreenresour,Polygreen Resources,Polygreen Resources,POLYGREEN RESOURCES,TW:PGR,2011/1/20,77452C,T8423,KYG715991074
Godex International Co Ltd,2012/3/14,2011/9/15,TW0004987003,4987,3679,Godex International Co Ltd,godex,Godex International,Godex International,GODEX INTERNATIONAL,TW:GXI,2010/11/24,77451T,T4987,TW0004987003
Inmax Holding Co Ltd,2012/3/16,2011/10/20,KYG4782L1023,1591,3496,Inmax Holding Co Ltd,inmaxholding,Inmax Holding,Inmax Holding,INMAX HOLDING,TW:IMX,2010/4/9,69713C,T1591,KYG4782L1023
Ant Precision Industry Co Ltd,2012/3/20,2011/8/30,TW0003646006,3646,3674,Ant Precision Industry Co Ltd,antprecision,ANT Precision Industry,ANT Precision Industry,ANT PRECISION INDUSTRY,TW:ANR,2010/4/1,69326W,T3646,TW0003646006
YCC Parts MFG Co Ltd,2012/4/17,2011/3/28,TW0001339000,1339,3714,YCC Parts MFG Co Ltd,ccparts,CUB Elecparts,CUB Elecparts,CUB ELECPARTS,TW:CUB,2009/3/25,51476F,T2231,TW0002231008
Ginko International Co Ltd,2012/4/20,2009/5/27,KYG390101064,8406,3851,Ginko International Co Ltd,ginko,Ginko International,Ginko International,GINKO INTERNATIONAL,TW:GNK,2012/4/27,87083W,T8406,KYG390101064
Mutto Optronics Corp,2012/4/20,2011/6/22,TW0004950001,4950,3629,Mutto Optronics Corp,muttooptronics,Mutto Optronics,Mutto Optronics,MUTTO OPTRONICS,TW:MOC,2010/6/29,774512,T4950,TW0004950001
TSH Biopharm Corp Ltd,2012/4/23,2011/12/15,TW0008432006,8432,2833,TSH Biopharm Corp Ltd,tshbiopharm,TSH Biopharm,TSH Biopharm,TSH BIOPHARM,TW:TSH,2011/6/16,77452H,T8432,TW0008432006
DelSolar Co Ltd,2012/5/2,2010/8/25,TW0003599007,3599,3674,DelSolar Co Ltd,delsolar,Delsolar,Delsolar,DELSOLAR,TW:DLS,2007/11/21,51476H,T3599,TW0003599007
Glory Science Co Ltd,2012/5/2,2011/8/8,TW0003428009,3428,3861,Glory Science Co Ltd,gloryscience,Glory Science,Glory Science,GLORY SCIENCE,TW:GSC,2011/1/17,774502,T3428,TW0003428009
Litemax Electronics Inc,2012/5/2,2011/8/11,TW0004995006,4995,3674,Litemax Electronics Inc,litemax,Litemax Electronics,Litemax Electronics,LITEMAX ELECTRONICS,TW:LME,2010/12/29,77452V,T4995,TW0004995006
Hermes Microvision Inc,2012/5/14,2011/5/12,TW0003658001,3658,3559,Hermes Microvision Inc,hermesmicrovisi,Hermes Microvision,Hermes Microvision,HERMES MICROVISION,TW:HMI,2011/4/29,77449E,T3658,TW0003658001
FX Hotels Group Inc,2012/5/25,2011/12/26,KYG3704Y1017,2724,7011,FX Hotels Group Inc,fxhotelgroup,FX Hotel Group,FX Hotel Group,FX HOTEL GROUP,TW:FXH,2010/1/14,68798C,T2724,KYG3704Y1017
Ledlink Optics Inc,2012/5/29,2011/12/16,TW0005230007,5230,3695,Ledlink Optics Inc,ledlinkoptics,Ledlink Optics,Ledlink Optics,LEDLINK OPTICS,TW:LOI,2011/5/3,77449L,T5230,TW0005230007
Chi Hua Fitness Co Ltd,2012/6/6,2011/12/21,TW0001593002,1593,3949,Chi Hua Fitness Co Ltd,chihuafitness,Chi Hua Fitness,Chi Hua Fitness,CHI HUA FITNESS,TW:CFF,2010/9/9,77449P,T1593,TW0001593002
Silicon Power Computer&Commun,2012/6/12,2012/4/23,TW0004973003,4973,3572,Silicon Power Computer&Commun,siliconpowercom,Silicon Power Computer and Communications,Silicon Power Computer and Communications,SILICON PWR.CMP.& COMMS.,TW:SPC,2011/1/11,77450Q,T4973,TW0004973003
Eris Technology Corp,2012/6/22,2011/10/19,TW0003675005,3675,3674,Eris Technology Corp,eris,ABC Taiwan Electronics,ABC Taiwan Electronics,ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,29740V,T3236,TW0003236006
Daxin Materials Corp,2012/7/9,2012/3/5,TW0005234009,5234,2819,Daxin Materials Corp,daxinmaterials,Daxin Materials,Daxin Materials,DAXIN MATERIALS,TW:DMR,2011/5/12,774496,T5234,TW0005234009
Microtips Technology Inc,2012/7/16,2011/12/22,TW0003285003,3285,3699,Microtips Technology Inc,microtips,Microtips Technology,Microtips Technology,MICROTIPS TECHNOLOGY,TW:CRP,2004/6/21,29072U,T3285,TW0003285003
Sunjuice Holdings Co Ltd,2012/8/29,2012/7/10,KYG858681003,1256,2037,Sunjuice Holdings Co Ltd,sunjuiceholding,Sunjuice Holdings,Sunjuice Holdings,SUNJUICE HOLDINGS,TW:SJC,2012/9/5,87504P,T1256,KYG858681003
Genesis Genetics Asia Corp,2012/9/10,2012/5/28,TW0004160007,4160,8071,Genesis Genetics Asia Corp,genesisgenetics,Genesis Genetics,Genesis Genetics,GENESIS GENETICS,TW:GGO,2011/7/15,77452N,T4160,TW0004160007
TTFB Co Ltd,2012/9/10,2012/4/11,TW0002729001,2729,5812,TTFB Co Ltd,ttfb,TTFB,TTFB,TTFB,TW:TFB,2011/9/16,77638K,T2729,TW0002729001
PharmaEngine Inc,2012/9/11,2012/4/26,TW0004162003,4162,2834,PharmaEngine Inc,pharmaengine,Pharmaengine,Pharmaengine,PHARMAENGINE,TW:PNG,2011/9/1,77582P,T4162,TW0004162003
SolidWizard Technology Co Ltd,2012/9/12,2012/4/26,TW0008416009,8416,7372,SolidWizard Technology Co Ltd,solidwizard,Solidwizard Technology,Solidwizard Technology,SOLIDWIZARD TECHNOLOGY,TW:SWL,2011/3/25,774514,T8416,TW0008416009
Primax Electronics Ltd,2012/9/28,2012/4/23,TW0004915004,4915,3577,Primax Electronics Ltd,primax,Primax Electronics,Primax Electronics,PRIMAX ELECTRONICS,TW:PXS,2009/12/31,77319R,T4915,TW0004915004
UDE Corp,2012/10/11,2012/4/16,TW0003689006,3689,3678,UDE Corp,ude,Ruentex Development,Ruentex Development,RUENTEX DEV.,TW:RTX,1992/4/30,315694,T9945,TW0009945006
Taiwan Taxi Co Ltd,2012/10/31,2012/3/29,TW0002640000,2640,4121,Taiwan Taxi Co Ltd,taiwantaxi,Taiwan Taxi,Taiwan Taxi,TAIWAN TAXI,TW:TTO,2011/7/25,774630,T2640,TW0002640000
INTAI Technology Corp,2012/11/8,2012/5/29,TW0004163001,4163,3841,INTAI Technology Corp,intai,Taiwan Takisawa Technology,Taiwan Takisawa Technology,TAIWAN TAKISAWA TECH.,TW:TSW,2003/9/23,27624J,T6609,TW0006609001
ThinTech Materials Technology,2012/11/13,2012/6/14,TW0003663001,3663,3674,ThinTech Materials Technology,thintechmateria,Thintech Materials Technology,Thintech Materials Technology,THINTECH MATERIALS TECH.,TW:TMX,2011/2/25,77449H,T3663,TW0003663001
Xu Yuan Packaging Technology,2012/11/16,2012/5/4,TW0008421009,8421,3565,Xu Yuan Packaging Technology,xuyuanpackaging,XU Yuan Packaging Technology,XU Yuan Packaging Technology,XU YUAN PACKAGING TECH.,TW:XYP,2010/10/20,774518,T8421,TW0008421009
Hakers Enterprise Co Ltd,2012/11/19,2012/3/29,TW0004432000,4432,2329,Hakers Enterprise Co Ltd,hakersenterpris,Hakers Enterprise,Hakers Enterprise,HAKERS ENTERPRISE,TW:HAK,2011/9/6,77601U,T4432,TW0004432000
JSW Pacific Corp,2012/11/19,2012/6/11,TW0005251003,5251,3651,JSW Pacific Corp,jswpacific,JSW Pacific,JSW Pacific,JSW PACIFIC,TW:JSP,2011/10/4,77759R,T5251,TW0005251003
Browave Corp,2012/11/26,2012/5/31,TW0003163002,3163,3674,Browave Corp,browave,Browave,Browave,BROWAVE,TW:BRO,2011/11/3,77884W,T3163,TW0003163002
Allied Circuit Co Ltd,2012/12/11,2012/3/30,TW0008155003,8155,3672,Allied Circuit Co Ltd,alliedcircuit,Allied Circuit,Allied Circuit,ALLIED CIRCUIT,TW:ACW,2011/5/20,774506,T8155,TW0008155003
Brogent Technologies Inc,2012/12/11,2012/4/9,TW0005263008,5263,7372,Brogent Technologies Inc,brogenttechnolo,Brogent Technologies,Brogent Technologies,BROGENT TECHNOLOGIES,TW:GZN,2011/12/5,779970,T5263,TW0005263008
GlycoNex Inc,2012/12/11,2012/3/5,TW0004168000,4168,2834,GlycoNex Inc,glyconex,Glyconex,Glyconex,GLYCONEX,TW:GLY,2011/12/16,86554P,T4168,TW0004168000
Wellpool Co Ltd,2012/12/11,2011/8/23,TW0008424003,8424,3275,Wellpool Co Ltd,wellpool,Wellpool,Wellpool,WELLPOOL,TW:WCL,2010/11/11,77452D,T8424,TW0008424003
Bon Fame Co Ltd,2012/12/12,2012/3/19,TW0008433004,8433,5137,Bon Fame Co Ltd,bonfame,Bon Fame,Bon Fame,BON FAME,TW:BFM,2011/9/9,77601R,T8433,TW0008433004
Taiwan Liposome Co Ltd,2012/12/14,2012/3/20,TW0004152004,4152,2836,Taiwan Liposome Co Ltd,taiwanliposome,Taiwan Liposome,Taiwan Liposome,TAIWAN LIPOSOME,TW:LPP,2011/10/24,77847P,T4152,TW0004152004
Aeon Motor Co Ltd,2012/12/19,2012/7/3,TW0001599009,1599,3751,Aeon Motor Co Ltd,aeonmotor,Aeon Motor,Aeon Motor,AEON MOTOR,TW:AEO,2011/10/5,77766M,T1599,TW0001599009
Chieftek Precision Co Ltd,2012/12/22,2012/6/21,TW0001597003,1597,3545,Chieftek Precision Co Ltd,chieftekprecisi,Chieftek Precision,Chieftek Precision,CHIEFTEK PRECISION,TW:CPZ,2011/3/10,774490,T1597,TW0001597003
Zimmite Taiwan Ltd,2012/12/22,2012/3/24,TW0008435009,8435,2819,Zimmite Taiwan Ltd,etaiwan,Syneurx International (Taiwan),Syneurx International (Taiwan),SYNEURX INTERNATIONAL (TAIWAN),TW:SNU,2016/1/29,8866EW,T6575,TW0006575004
The Eslite Spectrum Corp,2013/1/23,2012/3/26,TW0002926003,2926,5311,The Eslite Spectrum Corp,theeslitespectr,The Eslite Spectrum,The Eslite Spectrum,THE ESLITE SPECTRUM,TW:ESL,2012/3/27,87000R,T2926,TW0002926003
Cowealth Medical Holding Co,2013/1/23,2012/5/11,KYG248111042,4745,5047,Cowealth Medical Holding Co,cowealthmedical,Cowealth Medical Holding,Cowealth Medical Holding,COWEALTH MEDICAL HLDG.,TW:COW,2009/5/22,67723J,T4745,KYG248111042
CTI Traffic Industries Co Ltd,2013/4/11,2012/3/6,TW0002230000,2230,3592,CTI Traffic Industries Co Ltd,ctitrafficindus,C T I Traffic Industries,C T I Traffic Industries,C T I TRAFFIC INDUSTRIES,TW:CTA,2007/10/29,51489C,T2230,TW0002230000
ASPEED Technology Inc,2013/4/23,2012/11/26,TW0005274005,5274,3679,ASPEED Technology Inc,aspeed,Taiwan High Speed Rail,Taiwan High Speed Rail,TAIWAN HIGH SPEED RAIL,TW:THZ,2003/9/8,30384F,T2633,TW0002633005
Nextronics Engineering Corp,2013/4/23,2012/5/14,TW0008147000,8147,3679,Nextronics Engineering Corp,nextronicsengin,Nextronics Engineering,Nextronics Engineering,NEXTRONICS ENGINEERING,TW:NXE,2012/3/26,86988W,T8147,TW0008147000
ARBOR Technology Corp,2013/4/29,2012/7/25,TW0003594008,3594,3674,ARBOR Technology Corp,arbor,Arbor Technology,Arbor Technology,ARBOR TECHNOLOGY,TW:ABR,2007/12/10,51662R,T3594,TW0003594008
DIVA Laboratories Ltd,2013/5/16,2012/10/11,TW0004153002,4153,3841,DIVA Laboratories Ltd,divalaboratorie,Diva Laboratories,Diva Laboratories,DIVA LABORATORIES,TW:DLL,2010/10/11,774501,T4153,TW0004153002
AMICCOM Electronics Corp,2013/5/23,2012/8/28,TW0005272009,5272,3674,AMICCOM Electronics Corp,amiccom,Amiccom Electronics,Amiccom Electronics,AMICCOM ELECTRONICS,TW:AXX,2012/6/27,87274P,T5272,TW0005272009
Sinher Technology Inc,2013/5/27,2011/5/16,TW0004999008,4999,3577,Sinher Technology Inc,sinher,Shinih Enterprise,Shinih Enterprise,SHINIH ENTERPRISE,TW:SHE,2001/1/16,256847,T9944,TW0009944009
Sunfun Info Co Ltd,2013/5/28,2012/8/28,TW0005278006,5278,7375,Sunfun Info Co Ltd,sunfuninfo,Sunfun Information,Sunfun Information,SUNFUN INFO,TW:SNF,2012/5/29,87176D,T5278,TW0005278006
Tons Lightology Inc,2013/6/7,2012/3/21,TW0004972005,4972,3674,Tons Lightology Inc,tonslightology,Tons Lightology,Tons Lightology,TONS LIGHTOLOGY,TW:TLG,2011/2/25,77450L,T4972,TW0004972005
Z-Com Inc,2013/6/18,2012/4/12,TW0008176009,8176,3699,Z-Com Inc,-com,U-Media Communications,U-Media Communications,U-MEDIA COMMUNICATIONS,TW:UME,2014/9/24,9110AU,T6470,TW0006470008
Bioptik Technology Inc,2013/6/19,2013/4/26,TW0004161005,4161,3841,Bioptik Technology Inc,bioptik,Bioptik Technology,Bioptik Technology,BIOPTIK TECHNOLOGY,TW:BPT,2011/7/29,77505V,T4161,TW0004161005
Asia Pacific Telecom Co Ltd,2013/7/29,2012/8/23,TW0003682001,3682,4812,Asia Pacific Telecom Co Ltd,asiapacifictele,Asia Pacific Telecom,Asia Pacific Telecom,ASIA PACIFIC TELECOM,TW:APY,2011/12/1,77989T,T3682,TW0003682001
TCI Co Ltd,2013/9/5,2012/2/17,TW0008436007,8436,2099,TCI Co Ltd,tci,Taiwan Artcci,Taiwan Artcci,TAIWAN ARTCCI,TW:WAC,2016/5/16,7404ZP,T8479,TW0008479007
Sumeeko Industries Co Ltd,2013/9/14,2013/4/17,TW0002066008,2066,3714,Sumeeko Industries Co Ltd,sumeekoindustri,Sumeeko Industries,Sumeeko Industries,SUMEEKO INDUSTRIES,TW:SKE,2011/11/1,77849Q,T2066,TW0002066008
Topkey Corp,2013/10/2,2013/9/30,TW0004536008,4536,3949,Topkey Corp,topkey,Topkey,Topkey,TOPKEY,TW:TOK,2011/10/20,77818N,T4536,TW0004536008
Arich Enterprise Co Ltd,2013/10/24,2012/10/30,TW0004173000,4173,5122,Arich Enterprise Co Ltd,arichenterprise,Arich Enterprise,Arich Enterprise,ARICH ENTERPRISE,TW:REA,2012/7/10,87308L,T4173,TW0004173000
Chicony Power Tech Co Ltd,2013/11/1,2013/3/14,TW0006412000,6412,3577,Chicony Power Tech Co Ltd,chiconypower,Chicony Power Technology,Chicony Power Technology,CHICONY POWER TECHNOLOGY,TW:CPK,2013/1/3,87980C,T6412,TW0006412000
SciVision Biotech Inc,2013/11/5,2012/3/21,TW0001786002,1786,3841,SciVision Biotech Inc,scivisionbiotec,Scivision Biotechnology,Scivision Biotechnology,SCIVISION BIOTECH,TW:SBI,2010/12/29,774497,T1786,TW0001786002
Changs Ascending Enterprise Co,2013/11/14,2013/2/5,TW0008038001,8038,3691,Changs Ascending Enterprise Co,changsascending,Changs Ascending Enterprise,Changs Ascending Enterprise,CHANGS ASCENDING ENTER.,TW:CUN,2003/1/14,51521K,T8038,TW0008038001
EBM Technologies Inc,2013/11/18,2012/3/15,TW0008409004,8409,3841,EBM Technologies Inc,ebmtechnologies,EBM Technologies,EBM Technologies,EBM TECHNOLOGIES,TW:EBM,2010/4/13,69351R,T8409,TW0008409004
AIC Inc,2013/11/20,2012/3/22,TW0003693008,3693,3577,AIC Inc,aic,Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,140406,T2330,TW0002330008
ISSC Technologies Corp,2013/11/20,2012/4/11,TW0005261002,5261,3679,ISSC Technologies Corp,issctechnologie,Issc Technologies,Issc Technologies,ISSC TECHNOLOGIES,TW:ISS,2012/1/16,86648W,T5261,TW0005261002
InnoDisk Corp,2013/11/20,2013/3/27,TW0005289003,5289,3572,InnoDisk Corp,innodisk,Innodisk,Innodisk,INNODISK,TW:IDK,2012/10/5,87696E,T5289,TW0005289003
TWi Pharmaceuticals Inc,2013/11/26,2013/3/21,TW0004180005,4180,2834,TWi Pharmaceuticals Inc,twipharmaceutic,TWI Pharmaceuticals,TWI Pharmaceuticals,TWI PHARMACEUTICALS,TW:TPW,2012/11/5,87798R,T4180,TW0004180005
AEWIN Technologies Co Ltd,2013/11/26,2013/2/8,TW0003564001,3564,3577,AEWIN Technologies Co Ltd,aewintechnologi,Aewin Technologies,Aewin Technologies,AEWIN TECHNOLOGIES,TW:AEW,2007/8/8,51248W,T3564,TW0003564001
Advanced Lithium,2013/12/2,2013/3/27,KYG0100G1064,5227,2899,Advanced Lithium,advancedlithium,Advanced Lithium Ercm Ky,Advanced Lithium Ercm Ky,ADVANCED LITHIUM ERCM.KY,TW:ADE,2013/12/9,93650Z,T5227,KYG0100G1064
Taiwan Pelican Express Co Ltd,2013/12/5,2013/2/1,TW0002642006,2642,4213,Taiwan Pelican Express Co Ltd,taiwanpelicanex,Taiwan Pelican Express,Taiwan Pelican Express,TAIWAN PELICAN EXPRESS,TW:PXP,2012/12/26,87965U,T2642,TW0002642006
Taisol Electronics Co Ltd,2013/12/6,2013/8/27,TW0003338000,3338,3643,Taisol Electronics Co Ltd,taisol,Taiwan Sanyo Electric,Taiwan Sanyo Electric,TAIWAN SANYO ELECTRIC,TW:SET,1996/1/4,887814,T1614,TW0001614006
HIM International Music Inc,2013/12/12,2013/3/18,TW0008446006,8446,3652,HIM International Music Inc,himmusic,HIM International Music,HIM International Music,HIM INTERNATIONAL MUSIC,TW:HIM,2012/10/26,87764N,T8446,TW0008446006
Maxigen Biotech Inc,2013/12/13,2013/3/20,TW0001783009,1783,2836,Maxigen Biotech Inc,maxigenbiotech,Maxigen Biotechnology,Maxigen Biotechnology,MAXIGEN BIOTECH,TW:MBQ,2011/5/18,774495,T1783,TW0001783009
Johnson Chem Pharm Works Co,2013/12/18,2012/8/24,TW0004747001,4747,2834,Johnson Chem Pharm Works Co,johnsonchema,Johnson Chemical Pharmaceutical Works,Johnson Chemical Pharmaceutical Works,JOHNSON CHM.PHARM.WORKS,TW:JOC,2010/1/8,68840M,T4747,TW0004747001
Mycenax Biotech Inc,2013/12/18,2013/5/13,TW0004726005,4726,2834,Mycenax Biotech Inc,mycenaxbiotech,Mycenax Biotechnology,Mycenax Biotechnology,MYCENAX BIOTECH,TW:MYC,2008/10/30,54493U,T4726,TW0004726005
Ezfly Intl Travel Agent Co Ltd,2013/12/19,2013/9/10,TW0002734001,2734,7375,Ezfly Intl Travel Agent Co Ltd,lintravel,Lion Travel Service,Lion Travel Service,LION TRAVEL SERVICE,TW:LVV,2012/10/23,87764L,T2731,TW0002731007
Senao Networks Inc,2013/12/23,2013/9/30,TW0003558003,3558,4812,Senao Networks Inc,senaonetworks,Senao Networks,Senao Networks,SENAO NETWORKS,TW:SNO,2007/5/31,50831R,T3558,TW0003558003
Wistron Info Tech & Svcs Corp,2013/12/31,2010/8/19,TW0004953005,4953,7376,Wistron Info Tech & Svcs Corp,wistroninfot,Wistron Information Technology,Wistron Information Technology,WISTRON INFO TECH.,TW:WTR,2010/6/25,70752F,T4953,TW0004953005
Auto Server Co Ltd,2014/1/7,2011/11/10,,5266,7373,Auto Server Co Ltd,autoserver,Auto Server,Auto Server,AUTO SERVER,TW:ATS,2014/1/14,8702T5,T5266,JP3172460002
Addcn Technology Co Ltd,2014/1/13,2012/10/19,TW0005287007,5287,7375,Addcn Technology Co Ltd,addcn,Advanced Semiconductor Engineering,Advanced Semiconductor Engineering,ADVANCED SEMICON.ENGR.,TW:ASE,1989/7/19,540324,T2311,TW0002311008
Jih Lin Technology Co Ltd,2014/2/18,2013/10/30,TW0005285001,5285,3674,Jih Lin Technology Co Ltd,jihlin,Jih Lines Technology,Jih Lines Technology,JIH LIN TECHNOLOGY,TW:JLT,2012/9/12,87527L,T5285,TW0005285001
Amazing Microelectronic Corp,2014/3/4,2013/3/26,TW0006411002,6411,3674,Amazing Microelectronic Corp,amazingmicroele,Amazing Microelectronic,Amazing Microelectronic,AMAZING MICROELECTRONIC,TW:AMX,2012/12/25,87958E,T6411,TW0006411002
Ultra Chip Inc,2014/3/7,2013/1/23,TW0003141008,3141,3674,Ultra Chip Inc,ultrachip,Ultra Chip,Ultra Chip,ULTRA CHIP,TW:UTR,2003/12/11,30384H,T3141,TW0003141008
